"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4628","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","5.630796","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","8.158886","0","6"
"","0","1","0","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","10","6","92.205963","5","346"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","4","1","35.223404","0","53"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","1","1","7.843631","0","16"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","1","1","7.875757","0","17"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","3","1","7.689544","0","17"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","3","1","9.984003","0","19"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","5.493999","0","7"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","17","8","493.736084","0","2586"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","5","1","11.594062","0","33"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","1","1","17.144863","0","43"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","3","1","8.129964","0","14"
"/Game/Assets/Material/M_ToolBox.M_ToolBox","0","28","1","1","62.982952","0","230"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","7","2","49.022591","0","273"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","4","1","63.715046","0","148"
"/Game/Assets/Material/M_SlowMotion.M_SlowMotion","0","6","1","1","8.251951","0","22"
"/Game/Assets/Material/M_File.M_File","0","37","1","1","83.102043","0","386"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","14","5","1","31.818024","0","104"
"/Game/Assets/Material/M_BottleLabel.M_BottleLabel","0","58","1","1","143.770309","0","1040"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","23","4","1","56.042400","0","153"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","23","7","1","54.349476","0","109"
"/Game/Assets/Material/M_BottleLabel_2.M_BottleLabel_2","0","58","7","1","136.126312","0","1208"
"/Game/Assets/Material/Stubble_NeckSG.Stubble_NeckSG","0","54","1","1","98.041595","0","1243"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","60","5","2","185.267853","0","541"
"/Game/Assets/Material/M_MiniGameParticle.M_MiniGameParticle","0","40","3","1","103.454399","0","342"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","3","1","340.156525","0","5599"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","2","1","8.909472","0","17"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","7","1","31.524113","0","61"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","1","1","8.226641","0","14"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","1","1","6.697211","0","10"
"/Game/Assets/Material/M_BossMonster.M_BossMonster","0","28","5","1","63.698444","0","386"
"/Game/Assets/Material/M_White.M_White","0","23","2","1","52.355350","0","286"
"/Game/Assets/Material/Base_Body5_SG.Base_Body5_SG","0","28","8","1","65.055573","0","135"
"/Game/Assets/Material/M_Depth.M_Depth","0","29","1","1","70.304985","0","260"
"/Game/Assets/Material/M_ButtonText.M_ButtonText","0","37","6","1","84.982811","0","229"
"/Game/Assets/Material/Base_TearLine_SG.Base_TearLine_SG","0","54","2","1","97.742599","0","795"
"/Game/Assets/Material/M_MiniGame.M_MiniGame","0","12","3","1","13.520262","0","51"
"/Game/Assets/Material/M_Elevator.M_Elevator","0","60","5","1","142.774567","0","853"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","1","1","33.929932","0","108"
"/Game/Assets/Material/Base_TearLine_SG1.Base_TearLine_SG1","0","54","6","1","104.298721","0","748"
"/Game/Assets/Material/M_Shutter_Danger.M_Shutter_Danger","0","40","1","1","100.326134","0","613"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","9","8","3321.636963","0","1797"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","23","5","1","57.252563","0","146"
"/Game/Assets/Material/M_ElevatorFloor.M_ElevatorFloor","0","23","4","1","58.545712","0","152"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","14","6","1","36.227314","0","98"
"/Game/Assets/Material/M_BottleLabel_3.M_BottleLabel_3","0","58","1","1","166.232254","0","1747"
"/Game/Assets/Material/M_BottleLabel_4.M_BottleLabel_4","0","58","1","1","168.962234","0","1730"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","70","1","1","625.816162","0","1556"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","0","23","1","1","64.594475","0","255"
"/Game/Assets/Material/Mustache_HorseshoeSG.Mustache_HorseshoeSG","0","54","1","1","114.297035","0","917"
"/Game/Assets/Material/Classic_shortSG.Classic_shortSG","0","54","1","1","118.842255","0","1057"
"/Game/Assets/Material/Chin_Curtain_SparseSG.Chin_Curtain_SparseSG","0","54","1","1","117.553169","0","940"
"/Game/Assets/Material/M_ElevatorButton.M_ElevatorButton","0","37","1","1","100.353180","0","526"
"/Game/Assets/Material/M_GlassJar.M_GlassJar","0","62","1","1","173.741745","0","1437"
"/Game/Assets/Material/M_Door2.M_Door2","0","37","1","1","103.730362","0","561"
"/Game/Assets/Material/M_DoorHandle.M_DoorHandle","0","60","6","1","168.272461","0","1147"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","1","1","97.569695","0","671"
"/Game/Assets/Models/Material_003.Material_003","0","28","1","1","76.941925","0","422"
"/Game/Assets/Material/M_Lamp.M_Lamp","0","23","1","1","64.813408","0","240"
"/Game/Assets/Material/M_Flastic.M_Flastic","0","37","1","1","107.487816","0","326"
"/Game/Assets/Material/01_-_Default.01_-_Default","0","37","1","1","109.101387","0","361"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","659","2","1","1553.473633","0","42114"
"/Engine/EngineDebugMaterials/ShadedLevelColorationLitMaterial.ShadedLevelColorationLitMaterial","0","659","3","1","1521.034912","0","44755"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","1","1","61.906372","0","305"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","1","1","8.858439","0","26"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","1","1","8.856795","0","22"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","145","1","1","452.011230","0","3773"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","14","1","1","38.518291","0","57"
"/Game/Assets/Material/M_Ceiling.M_Ceiling","0","38","1","1","87.317894","0","473"
"/Game/Assets/Material/Blood_Mat.Blood_Mat","0","41","1","1","91.666222","0","575"
"/Game/Assets/Material/M_AlphaTexture.M_AlphaTexture","0","29","1","1","85.252304","0","356"
"/Game/Assets/Material/M_FileBox_Nametag.M_FileBox_Nametag","0","78","1","1","234.562973","0","1520"
"/Game/Assets/Material/M_ExitLight.M_ExitLight","0","23","1","1","66.891747","0","171"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","37","1","1","109.251038","0","370"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","23","1","1","67.584343","0","169"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","23","1","1","67.332893","0","235"
"/Game/Assets/Material/M_Securitytap.M_Securitytap","0","37","1","1","105.516708","0","422"
